;TrV;Benämning;Definition;Synonym
Tillgangssystem;;DummyA;;
Tillgangssystem;A;Utrymmesskapande system;funktionellt system som skapar utrymme;
Tillgangssystem;AB;Mark- och grundsystem;utrymmesskapande system på eller i mark;
Tillgangssystem;ABA;Undergrund;marksystem som utgör underlag för byggnadsverk;bank, terrass
Tillgangssystem;AC;DummyAC;;
Tillgangssystem;ACA;Grundläggning;mark- och grundsystem som avslutar ett byggnadsverk neråt;grund, platta på mark, grundmurar
Tillgangssystem;AD;DummyAD;;
Tillgangssystem;ADA;Väganläggning;marksystem för markburen trafik;
Tillgangssystem;ADB;Vägbana;väganläggning för körbana och eventuella vägrenar, uppställningsfält och cykelfält;bussgata, bussväg, entréväg, flerfältsväg, gata, gårdsgata, motorväg, tvåfältsväg
Tillgangssystem;ADD;Gång- och/eller cykelbana;väganläggning för gång- och/eller cykeltrafik;gångbana, cykelbana
Tillgangssystem;AE;Överbyggnad för sidoområde;marksystem för trafikseparation och säkerhet;
Tillgangssystem;AF;Överbyggnad för plan;marksystem för annan primär verksamhet än trafik;
Tillgangssystem;AG;DummyAG;;
Tillgangssystem;AGA;Vegetationsyta;marksystem för vegetation;naturyta, parkyta, grönyta
Tillgangssystem;AGB;Planteringsyta;vegetationsöverbyggnad för plantering;buskyta
Tillgangssystem;AGC;Gräsyta;vegetationsöverbyggnad för gräs;
Tillgangssystem;AH;Vattenanläggning;marksystem för hantering av vatten;
Tillgangssystem;AHB;Damm;vattenanläggning för lagring;Fördröjningsanläggning, vattenmagasin, vattenreservoar
Tillgangssystem;AHC;Vattenväg;vattenanläggning för öppen ledning;Kanal
Tillgangssystem;AHD;Infiltrationsanläggning;vattenanläggning för ledning in i mark;
Tillgangssystem;AHE;Vattentunnel;vattenanläggning för sluten ledning i mark;
Tillgangssystem;AJ;Spåranläggning;marksystem för spårburen trafik;Banunderbyggnad
Tillgangssystem;B;Byggnadskonstruktion;utrymmesskapande system som formar och avskiljer utrymmen;
Tillgangssystem;BB;Bjälklagskonstruktion;byggnadskonstruktion för horisontellt bärverk;bjälklag, lastkaj, mellanbjälklag, vindsbjälklag, utskjutande bjälklag, ytterbjälklag
Tillgangssystem;BBB;Bottenbjälklag;bjälklagskonstruktion under det lägsta våningsplanet i en byggnad;
Tillgangssystem;BBC;Mellanbjälklag;bjälklagskonstruktion mellan våningsplan i en byggnad;våningsbjälklag
Tillgangssystem;BBD;Vindsbjälklag;bjälklagskonstruktion över det högsta våningsplanet i en byggnad;Övrebjälklag, toppbjälklag
Tillgangssystem;BBE;Utskjutande bjälklag;bjälklagskonstruktion som skjuter ut från byggnad;Balkongbjälklag, Loftgångsbjälklag Svalgångsbjälklag, 
Tillgangssystem;BC;Väggkonstruktion;byggnadskonstruktion som vertikal avskiljare och/eller ger stöd;frontmur, skärning, spont, stödmur, bergvägg, kulvertvägg, terrängmur, dammvägg, yttervägg, innervägg
Tillgangssystem;BCB;Yttervägg;väggkonstruktion över mark mot utsidan av byggnadsverk;
Tillgangssystem;BCC;Innervägg;väggkonstruktion mellan utrymmen i byggnadsverk;
Tillgangssystem;BCD;Vägg mot mark;väggkonstruktion mot mark;
Tillgangssystem;BCE;Terrängmur;väggkonstruktion fristående på mark;
Tillgangssystem;BCF;Vattenvägg;väggkonstruktion mot vatten;
Tillgangssystem;BD;Takkonstruktion;byggnadskonstruktionsom avslutar ett byggnadsverk uppåt;yttertak, skärmtak
Tillgangssystem;C;Brokonstruktion;utrymmesskapande system som bildar utrymme över underliggande hinder;
Tillgangssystem;CB;Fast brokonstruktion;brokonstruktion med fast brobana;
Tillgangssystem;CC;Öppningsbar brokonstruktion;brokonstruktion med rörlig brobana;
Tillgangssystem;D;Tunnelkonstruktion;utrymmesskapande system som bildar utrymme i mark eller i vatten;
Tillgangssystem;DB;Bergtunnelkonstruktion;tunnelkonstruktion med naturligt bärverk i berg;bergrum
Tillgangssystem;DBB;Tunnelbotten;Bergtunnelkonstruktion som avslutar tunnel neråt;Bergtunnelbotten
Tillgangssystem;DBC;Tunnelvägg;Bergtunnelkonstruktion som vertikal avskiljare och/eller ger stöd;
Tillgangssystem;DBD;Tunneltak;Bergtunnelkonstruktion som avslutar tunnel uppåt;
Tillgangssystem;DC;Betongtunnelkonstruktion;tunnelkonstruktion med konstuerat bärverk i mark eller vatten;Sänktunnel
Tillgangssystem;DCB;Tunnelbotten;Betongtunnelkonstruktion som avslutar tunnel neråt;Betongtunnelbotten
Tillgangssystem;DCC;Tunnelvägg;Betongtunnelkonstruktion som vertikal avskiljare och/eller ger stöd;Betongtunnelvägg
Tillgangssystem;DCD;Tunneltak;Betongtunnelkonstruktion som avslutar tunnel uppåt;
Tillgangssystem;1;Installationssystem;funktionellt system som tillhandahåller tjänster;
Tillgangssystem;E;Gas- och luftsystem;installationssystem som tillför tekniska gaser eller teknisk luft;
Tillgangssystem;EB;Gassystem;gassystem;
Tillgangssystem;EC;Luftsystem;luftsystem;
Tillgangssystem;ECB;Tryckluftssystem;luftsystem för trycksatt luft;
Tillgangssystem;ECC;Renluftssystem;luftsystem för renad luft;
Tillgangssystem;F;Vatten- och vätskesystem;installationssystem som tillför dricksvatten, tekniskt vatten eller annan vätska;
Tillgangssystem;FC;Renvattensystem;vattensystem för vatten tjänligt för mänskligt bruk;Tappvatten
Tillgangssystem;FCB;Tappkallvattensystem;renvattensystem för ej uppvärmt vatten;dricksvatten
Tillgangssystem;FCC;Tappvarmvattensystem;renvattensystem för uppvärmt vatten;
Tillgangssystem;FG;Bevattningssystem;vattensystem för bevattning;
Tillgangssystem;FH;DummyFH;;
Tillgangssystem;FHA;Grundvattensystem;vattensystem för infiltration i mark;Infiltrationsvattensystem
Tillgangssystem;G;Avlopps- och avfallssystem;installationssystem som avlägsnar vätska eller avfall;
Tillgangssystem;GB;DummyGB;;
Tillgangssystem;GBA;Förorenat vattensystem;avloppssystem för vatten som innehåller oönskade ämnen eller föremål;Avloppssystem
Tillgangssystem;GBB;Spillvattensystem;förorenat vattensystem från byggnadsverk, potentiellt hälsovådligt;Svartvattensystem
Tillgangssystem;GBC;Processpillvattensystem;förorenat vattensystem från process, potentiellt hälsovådligt;
Tillgangssystem;GBD;Gråvattensystem;förorenat vattensystem från byggnadsverk eller process, icke hälsovådligt;BDT-vattensystem
Tillgangssystem;GBE;Trafikavloppssystem;förorenat vattensystem från trafikeringsyta;Tunnelavloppssystem
Tillgangssystem;GC;DummyGC;;
Tillgangssystem;GCA;Överskottsvattensystem;avloppssystem för överflödigt vatten;
Tillgangssystem;GCB;Dagvattensystem;överskottsvattensystem på markyta;
Tillgangssystem;GCC;Dränvattensystem;överskottsvattensystem i mark;
Tillgangssystem;GE;DummyGE;;
Tillgangssystem;GEA;Kombinerat avloppssystem;avloppssystem för förorenat vatten och överskottsvatten;Samförlagda VA-system
Tillgangssystem;GEB;Kombinerat spill-, dag- och dränvattensystem;kombinerat avloppsvattensystem för spill-, dag- och dränvatten;
Tillgangssystem;GEC;Kombinerat spill- och dagvattensystem;kombinerat avloppsvattensystem för spill- och dränvatten;
Tillgangssystem;GF;Avfallshanteringssystem;avfallssystem för restprodukt eller annat som bedömts sakna värde och som därför har kasserats;sophanteringssystem
Tillgangssystem;GFB;Matavfallshanteringssystem;avfallshanteringssystem från matproduktion eller matlagning;
Tillgangssystem;GFC;Slamhanteringssystem;avfallshanteringssystem för slam;
Tillgangssystem;GG;Centraldammsugningssystem;avfallssystem för småpartiklar genom sugning;
Tillgangssystem;GH;Tvätthanteringssystem;avfallssystem för smutsiga textilier;
Tillgangssystem;H;Kyl- och värmesystem;installationssystem som tillför kylning och värmning;
Tillgangssystem;HB;DummyHB;;
